TimestampUTC,PhaseName
2021-10-13 03:26:00+00:00,Cuarto Creciente
2021-10-16 18:06:00+00:00,Creciente Gibosa
2021-10-20 14:57:00+00:00,Luna Llena
2021-10-24 17:34:00+00:00,Menguante Gibosa
2021-10-28 20:06:00+00:00,Cuarto Menguante
2021-11-01 13:29:00+00:00,Menguante Cóncava
2021-11-04 21:15:00+00:00,Luna Nueva
2021-11-08 02:32:00+00:00,Creciente Cóncava
2021-11-11 12:47:00+00:00,Cuarto Creciente
2021-11-15 07:28:00+00:00,Creciente Gibosa
2021-11-19 08:58:00+00:00,Luna Llena
2021-11-23 12:51:00+00:00,Menguante Gibosa
2021-11-27 12:28:00+00:00,Cuarto Menguante
2021-12-01 02:08:00+00:00,Menguante Cóncava
2021-12-04 07:44:00+00:00,Luna Nueva
2021-12-07 12:51:00+00:00,Creciente Cóncava
2021-12-11 01:36:00+00:00,Cuarto Creciente
2021-12-15 00:41:00+00:00,Creciente Gibosa
2021-12-19 04:36:00+00:00,Luna Llena
2021-12-23 06:37:00+00:00,Menguante Gibosa
2021-12-27 02:24:00+00:00,Cuarto Menguante
2021-12-30 13:29:00+00:00,Menguante Cóncava
2022-01-02 18:34:00+00:00,Luna Nueva
2022-01-06 01:28:00+00:00,Creciente Cóncava
2022-01-09 18:12:00+00:00,Cuarto Creciente
2022-01-13 20:46:00+00:00,Creciente Gibosa
2022-01-17 23:49:00+00:00,Luna Llena
2022-01-21 21:42:00+00:00,Menguante Gibosa
2022-01-25 13:41:00+00:00,Cuarto Menguante
2022-01-28 23:24:00+00:00,Menguante Cóncava
2022-02-01 05:47:00+00:00,Luna Nueva
2022-02-04 16:26:00+00:00,Creciente Cóncava
2022-02-08 13:51:00+00:00,Cuarto Creciente
2022-02-12 17:34:00+00:00,Creciente Gibosa
2022-02-16 16:57:00+00:00,Luna Llena
2022-02-20 09:51:00+00:00,Menguante Gibosa
2022-02-23 22:33:00+00:00,Cuarto Menguante
2022-02-27 08:06:00+00:00,Menguante Cóncava
